_date,total_views,unique_views
2024-06-13,13,1
2024-06-14,7,3
2024-06-17,3,2
2024-06-19,17,3
2024-06-21,1,1
2024-06-26,9,2
2024-06-27,6,2
2024-06-28,15,1
2024-07-01,5,2
2024-07-02,1,1
2024-07-03,4,2
2024-07-04,1,1
2024-07-05,6,1
2024-07-07,1,1
2024-07-08,1,1
2024-07-10,29,2
2024-07-11,2,1
2024-07-12,1,1
2024-07-15,2,2
2024-07-17,1,1
2024-07-19,1,1
2024-07-22,1,1
2024-07-26,1,1
2024-07-29,16,1
2024-07-31,1,1
2024-08-01,1,1
2024-08-08,12,1
2024-08-09,2,2
2024-08-10,6,3
2024-08-12,8,2
2024-08-13,1,1
2024-08-14,18,1
2024-08-18,1,1
2024-08-19,1,1
2024-08-20,7,2
2024-08-21,22,2
2024-08-22,13,3
2024-08-23,3,3
2024-08-24,5,1
2024-08-26,7,1
2024-08-28,30,2
2024-08-30,16,1
2024-09-02,5,2
2024-09-04,10,1
2024-09-05,17,1
2024-09-08,9,1
2024-09-09,168,2
2024-09-10,14,4
2024-09-11,16,3
2024-09-12,1,1
